TRANSTYPE,DOCNUM,CUSTOMER,CUSTNAME,INVNUMBER,INVDATE,TRANSDATE,SALESPER1,ITEM,DESC,PRICELIST,QTYSHIPPED,INVUNIT,UNITPRICE,EXTINVMISC,TAMOUNT1,INVDISC,TBASE1,DPID,SUBCATID,MSOTR,FMTR,RSMTR,PRODUCTID,SUBDISTNAME,MARKETNAME,CUSTYPE,CUSTYPEDESC,CondID,BRAND,PICKINGSEQ,Cause_Of_Return_ID,SHINUMBER,SHIPDATE,TERMS,DAYENDNUM,AUDTORG,MSOGRP,BILEMAILC,INVDISCPER,TRNSFRED,TRNUMBER,FMID,RSMID,IDEN,DATETIME,CIRCULARNO,BATCHID
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,15466   ,1247                    ,DORENTA SYp 100ML                                           ,00    ,1.0,100ml     ,0.0,0.0,0.0,0.0,0.0,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,B         ,"Bonus Item, Circular",,0,3,N/A     ,N/A     ,56178508,2019-06-19 02:18:03.537,SC-2017-05-10470,09006
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,12337   ,1335                    ,ZOFRA 50ML ORAL SOL                                         ,01    ,8.0,50ml      ,33.73,269.84,5.869,0.0,269.84,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,A         ,"Bonus apply, Circula",0.0,0,3,N/A     ,N/A     ,56178509,2019-06-19 02:18:03.537,SC-2017-01-10384,09016
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,12337   ,1067                    ,ORADIN 10MG TAB 100S                                        ,01    ,2.0,100s      ,299.85,599.7,52.174,74.05,599.7,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,A         ,Flat Rate applied   ,12.34784,0,3,N/A     ,N/A     ,56178511,2019-06-19 02:18:03.537,SC-2017-06-10487,0O701
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,15466   ,1204                    ,NEOSALINE 10.25GM 50S                                       ,01    ,1.0,50s       ,187.41,187.41,32.609,0.0,187.41,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,B         ,Declared Item       ,0.0,0,3,N/A     ,N/A     ,56178512,2019-06-19 02:18:03.537,,09012
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,12337   ,1107                    ,AROCEF 500MG CAP 24S                                        ,01    ,2.0,24s       ,269.87,539.74,46.957,10.79,539.74,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.99911,0,3,N/A     ,N/A     ,56178513,2019-06-19 02:18:03.537,,08005
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,200139  ,1088                    ,CARBAZIN 200MG TAB 50S                                      ,01    ,2.0,50s       ,149.93,299.86,26.088,6.0,299.86,510006,42647,CCK65,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,C         ,Regular Discount    ,2.00093,0,3,N/A     ,N/A     ,56178514,2019-06-19 02:18:03.537,,09001
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,200139  ,1687                    ,CARDOPLUS 50MG TAB 40S                                      ,01    ,1.0,40s       ,239.88,239.88,41.74,4.8,239.88,510006,42647,CCK65,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,C         ,Regular Discount    ,2.001,0,3,N/A     ,N/A     ,56178515,2019-06-19 02:18:03.537,,09002
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,200139  ,1005                    ,DEZIDE TAB 100S                                             ,01    ,2.0,100s      ,74.96,149.92,13.043,3.0,149.92,510006,42647,CCK65,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,C         ,Regular Discount    ,2.00107,0,3,N/A     ,N/A     ,56178516,2019-06-19 02:18:03.537,,09002
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,15466   ,1483                    ,ESORAL 40MG TAB 30S                                         ,01    ,5.0,30s       ,179.91,899.55,31.304,17.99,899.55,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,B         ,Regular Discount    ,1.99989,0,3,N/A     ,N/A     ,56178517,2019-06-19 02:18:03.537,,09005
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,12337   ,1466                    ,ETHINOR 5MG TAB 45S                                         ,01    ,2.0,45s       ,168.66,337.32,29.347,6.75,337.32,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,A         ,Regular Discount    ,2.00107,0,3,N/A     ,N/A     ,56178518,2019-06-19 02:18:03.537,,09003
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,15466   ,1368                    ,FENOBAC 10MG TAB 30S                                        ,01    ,1.0,30s       ,179.91,179.91,31.304,3.6,179.91,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,B         ,Regular Discount    ,2.001,0,3,N/A     ,N/A     ,56178519,2019-06-19 02:18:03.537,,00901
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,12337   ,1160                    ,FEOFOL CI CAP 30S                                           ,01    ,1.0,30s       ,56.22,56.22,9.782,1.12,56.22,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.99217,0,3,N/A     ,N/A     ,56178520,2019-06-19 02:18:03.537,,09003
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,15466   ,1576                    ,FLUCLOXIN 500MG CAP 40S                                     ,01    ,5.0,40s       ,314.84,1574.2,54.782,31.48,1574.2,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,B         ,Regular Discount    ,1.99975,0,3,N/A     ,N/A     ,56178521,2019-06-19 02:18:03.537,,09009
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,15466   ,1008                    ,FLUCLOXIN CAP 250MG 100S                                    ,01    ,2.0,100s      ,432.53,865.06,75.26,17.3,865.06,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,B         ,Regular Discount    ,1.99986,0,3,N/A     ,N/A     ,56178522,2019-06-19 02:18:03.537,,09002
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,200139  ,1684                    ,GLIKAZID 80MG TAB 40S                                       ,01    ,1.0,40s       ,149.92,149.92,26.09,3.0,149.92,510006,42647,CCK65,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,C         ,Regular Discount    ,2.00107,0,3,N/A     ,N/A     ,56178523,2019-06-19 02:18:03.537,,09001
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,15466   ,1256                    ,HUNNY SYP 100ML                                             ,01    ,6.0,100ml     ,29.99,179.94,5.218,3.6,179.94,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,B         ,Regular Discount    ,2.00067,0,3,N/A     ,N/A     ,56178524,2019-06-19 02:18:03.537,,09002
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,12337   ,1784                    ,LOSECTIL 20MG CAP 120S                                      ,01    ,10.0,120s      ,449.77,4497.7,78.26,89.95,4497.7,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.99991,0,3,N/A     ,N/A     ,56178526,2019-06-19 02:18:03.537,,09070
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,200139  ,1704                    ,NOCLOG 75MG TAB 40S                                         ,01    ,1.0,40s       ,359.82,359.82,62.61,7.2,359.82,510006,42647,CCK65,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,C         ,Regular Discount    ,2.001,0,3,N/A     ,N/A     ,56178527,2019-06-19 02:18:03.537,,09008
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,15466   ,1337                    ,NORIUM 10MG TAB 60S                                         ,01    ,5.0,60s       ,224.89,1124.45,39.131,22.49,1124.45,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,B         ,Regular Discount    ,2.00009,0,3,N/A     ,N/A     ,56178528,2019-06-19 02:18:03.537,,09002
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,12337   ,1636                    ,OSTOCAL GX TAB 30S                                          ,01    ,3.0,30s       ,337.33,1011.99,58.695,20.24,1011.99,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,A         ,Regular Discount    ,2.00002,0,3,N/A     ,N/A     ,56178529,2019-06-19 02:18:03.537,,09003
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,15466   ,1661                    ,REELIFE TABLET 40S                                          ,01    ,5.0,40s       ,239.88,1199.4,41.74,23.99,1199.4,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,B         ,Regular Discount    ,2.00017,0,3,N/A     ,N/A     ,56178530,2019-06-19 02:18:03.537,,09014
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,15466   ,1347                    ,RIDON EG 10MG TAB 20S                                       ,01    ,3.0,20s       ,89.96,269.88,15.653,5.4,269.88,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,B         ,Regular Discount    ,2.00089,0,3,N/A     ,N/A     ,56178531,2019-06-19 02:18:03.537,,09027
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,12337   ,1029                    ,SOLVIT B TAB 45S                                            ,01    ,6.0,45s       ,20.92,125.52,3.64,2.51,125.52,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.99968,0,3,N/A     ,N/A     ,56178532,2019-06-19 02:18:03.537,,09023
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,12337   ,1240                    ,XINC B SYP 100ML                                            ,01    ,10.0,100ml     ,41.23,412.3,7.17,8.25,412.3,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,A         ,Regular Discount    ,2.00097,0,3,N/A     ,N/A     ,56178534,2019-06-19 02:18:03.537,,09013
1,SKINV510-335568       ,51051000194,Ruma Drug House,SKINV510-335568       ,20190618.0,20190618.0,15466   ,1631                    ,ZEEFOL CI CAP 90S                                           ,01    ,1.0,90s       ,269.87,269.87,46.957,5.4,269.87,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358267        ,20190618.0,CASH  ,0,BSLSKF,B         ,Regular Discount    ,2.00096,0,3,N/A     ,N/A     ,56178535,2019-06-19 02:18:03.537,,09008
1,SKINV510-335239       ,51052149866,New Shahadat Medical Hall,SKINV510-335239       ,20190618.0,20190618.0,15466   ,1502                    ,LUMONA 10MG TAB 30S                                         ,01    ,1.0,30s       ,269.87,269.87,46.96,0.0,269.87,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-357888        ,20190617.0,CASH  ,0,BSLSKF,B         ,-                   ,0.0,0,3,N/A     ,N/A     ,56178536,2019-06-19 02:18:03.537,,09016
1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618.0,20190618.0,12337   ,1735                    ,TAMEN TURBO TAB 120S                                        ,01    ,4.0,120s      ,224.89,899.56,39.13,13.49,899.56,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618.0,CASH  ,0,BSLSKF,A         ,"Bonus apply, Circula",1.49962,0,3,N/A     ,N/A     ,56178537,2019-06-19 02:18:03.537,SC-2019-06-10843,09036
1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618.0,20190618.0,15466   ,1099                    ,RIDON TAB 100S                                              ,01    ,2.0,100s      ,187.41,374.82,32.609,40.04,374.82,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618.0,CASH  ,0,BSLSKF,B         ,Flat Rate applied   ,10.68246,0,3,N/A     ,N/A     ,56178538,2019-06-19 02:18:03.537,SC-2015-05-10164,09001
1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618.0,20190618.0,15466   ,1632                    ,ETORIX 120MG TAB 30S                                        ,01    ,5.0,30s       ,314.84,1574.2,54.782,23.61,1574.2,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618.0,CASH  ,0,BSLSKF,B         ,Regular Discount    ,1.49981,0,3,N/A     ,N/A     ,56178539,2019-06-19 02:18:03.537,,09012
1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618.0,20190618.0,12337   ,1653                    ,KEFUCLAV 500MG TAB 8S                                       ,01    ,2.0,8s        ,299.85,599.7,52.17,9.0,599.7,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618.0,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.50075,0,3,N/A     ,N/A     ,56178540,2019-06-19 02:18:03.537,,09006
1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618.0,20190618.0,12337   ,1604                    ,LOSECTIL V 20MG CAP 100S                                    ,01    ,2.0,100s      ,374.81,749.62,65.217,11.24,749.62,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618.0,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.49943,0,3,N/A     ,N/A     ,56178541,2019-06-19 02:18:03.537,,A9003
1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618.0,20190618.0,200139  ,1673                    ,OLMESTA M TAB 30S                                           ,01    ,1.0,30s       ,179.91,179.91,31.3,2.7,179.91,510006,42647,CCK65,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618.0,CASH  ,0,BSLSKF,C         ,Regular Discount    ,1.50075,0,3,N/A     ,N/A     ,56178542,2019-06-19 02:18:03.537,,0O901
1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618.0,20190618.0,12337   ,1636                    ,OSTOCAL GX TAB 30S                                          ,01    ,1.0,30s       ,337.33,337.33,58.695,5.06,337.33,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618.0,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.50001,0,3,N/A     ,N/A     ,56178543,2019-06-19 02:18:03.537,,09003
1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618.0,20190618.0,12337   ,1534                    ,OSTOCAL JR 250MG TAB 30S                                    ,01    ,5.0,30s       ,67.47,337.35,11.74,5.06,337.35,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618.0,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.49993,0,3,N/A     ,N/A     ,56178544,2019-06-19 02:18:03.537,,09010
1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618.0,20190618.0,12337   ,1609                    ,PG 25MG CAP 24S                                             ,01    ,1.0,24s       ,143.93,143.93,25.044,2.16,143.93,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618.0,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.50073,0,3,N/A     ,N/A     ,56178545,2019-06-19 02:18:03.537,,0O901
1,SKINV510-335508       ,51052134745,Miraj Medical Hall,SKINV510-335508       ,20190618.0,20190618.0,12337   ,1345                    ,SOLBION TAB 50S                                             ,01    ,1.0,50s       ,299.85,299.85,52.17,4.5,299.85,510006,42647,PB44,PB40,PB,SKF,N/A,Chairmanhat,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-358202        ,20190618.0,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.50075,0,3,N/A     ,N/A     ,56178546,2019-06-19 02:18:03.537,,09010
1,SKINV510-335262       ,51052438682,Chowduri Medical Hall,SKINV510-335262       ,20190618.0,20190618.0,12337   ,1735                    ,TAMEN TURBO TAB 120S                                        ,01    ,4.0,120s      ,224.89,899.56,39.13,8.99,899.56,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-357922        ,20190617.0,CASH  ,0,BSLSKF,A         ,"Bonus apply, Circula",0.99938,0,3,N/A     ,N/A     ,56178548,2019-06-19 02:18:03.537,SC-2019-06-10843,09036
1,SKINV510-335262       ,51052438682,Chowduri Medical Hall,SKINV510-335262       ,20190618.0,20190618.0,15466   ,1632                    ,ETORIX 120MG TAB 30S                                        ,01    ,1.0,30s       ,314.84,314.84,54.782,3.15,314.84,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-357922        ,20190617.0,CASH  ,0,BSLSKF,B         ,Regular Discount    ,1.00051,0,3,N/A     ,N/A     ,56178549,2019-06-19 02:18:03.537,,09012
1,SKINV510-335262       ,51052438682,Chowduri Medical Hall,SKINV510-335262       ,20190618.0,20190618.0,12337   ,1078                    ,LOSECTIL 10MG CAP 48S                                       ,01    ,1.0,48s       ,71.97,71.97,12.523,0.72,71.97,510006,42647,PB44,PB40,PB,SKF,N/A,Charfashion,110,Retailer-Ex. HQ,N/A,0,N/A       ,N/A,SKSH510-357922        ,20190617.0,CASH  ,0,BSLSKF,A         ,Regular Discount    ,1.00042,0,3,N/A     ,N/A     ,56178550,2019-06-19 02:18:03.537,,09003
